Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
SE Palmeiras,4,Cuiabá EC,15,1,"sáb, 15/04/23",16:00,2,1,Allianz Parque,35.835 torcedores,Paulo Cesar Zanovelli
América Mineiro,20,Fluminense FC,1,1,"sáb, 15/04/23",16:00,0,3,Estádio Raimundo Sampaio,6.653 torcedores,Braulio da Silva Machado
Botafogo FR,6,São Paulo FC,14,1,"sáb, 15/04/23",18:30,2,1,Estádio Olímpico Nilton Santos,11.708 torcedores,Ramon Abatti
RB Bragantino,5,EC Bahia,12,1,"sáb, 15/04/23",18:30,2,1,Estádio Nabi Abi Chedid,3.368 torcedores,Maguielson Lima Barbosa
Athletico Paranaense,3,Goiás EC,18,1,"sáb, 15/04/23",18:30,2,0,Ligga Arena,15.329 torcedores,Rafael Rodrigo Klein
Fortaleza EC,11,SC Internacional,10,1,"sáb, 15/04/23",18:30,1,1,Estádio Governador Plácido Castelo,30.191 torcedores,Edina Alves Batista
Atlético Mineiro,16,CR Vasco da Gama,8,1,"sáb, 15/04/23",21:00,1,2,Estádio Governador Magalhães Pinto,34.980 torcedores,Raphael Claus
CR Flamengo,2,Coritiba FC,19,1,"dom, 16/04/23",16:00,3,0,Estádio Jornalista Mário Filho,42.848 torcedores,Rodrigo Jose Pereira de Lima
SC Corinthians,7,Cruzeiro EC,13,1,"dom, 16/04/23",16:00,2,1,Neo Química Arena,41.304 torcedores,Anderson Daronco
Grêmio FBPA,9,Santos FC,17,1,"dom, 16/04/23",18:30,1,0,Estádio Alfredo Jaconi,13.997 torcedores,Wilton Sampaio
Fluminense FC,1,Athletico Paranaense,11,2,"sáb, 22/04/23",16:00,2,0,Estádio Jornalista Mário Filho,38.598 torcedores,Paulo Cesar Zanovelli
São Paulo FC,9,América Mineiro,20,2,"sáb, 22/04/23",18:30,3,0,MorumBIS,41.006 torcedores,Wagner do Nascimento Magalhães
Cuiabá EC,15,RB Bragantino,7,2,"sáb, 22/04/23",18:30,1,1,Arena Pantanal,9.267 torcedores,Caio Max Augusto Vieira
Cruzeiro EC,12,Grêmio FBPA,13,2,"sáb, 22/04/23",21:00,1,0,Estádio Raimundo Sampaio,21.605 torcedores,Flavio Rodrigues de Souza
SC Internacional,6,CR Flamengo,8,2,"dom, 23/04/23",11:00,2,1,Estádio Beira-Rio,45.751 torcedores,Ramon Abatti
CR Vasco da Gama,5,SE Palmeiras,4,2,"dom, 23/04/23",16:00,2,2,Estádio Jornalista Mário Filho,59.867 torcedores,Rafael Rodrigo Klein
Santos FC,17,Atlético Mineiro,16,2,"dom, 23/04/23",16:00,0,0,Estádio Urbano Caldeira,11.233 torcedores,Braulio da Silva Machado
Coritiba FC,19,Fortaleza EC,3,2,"dom, 23/04/23",18:30,0,3,Estádio Major Antônio Couto Pereira,24.423 torcedores,Wilton Sampaio
Goiás EC,10,SC Corinthians,14,2,"dom, 23/04/23",19:00,3,1,Estádio Serra Dourada,10.162 torcedores,Bruno Arleu de Araújo
EC Bahia,18,Botafogo FR,2,2,"seg, 24/04/23",20:00,1,2,Arena Fonte Nova,27.427 torcedores,Raphael Claus
Coritiba FC,19,São Paulo FC,8,3,"sáb, 29/04/23",16:30,1,1,Estádio Major Antônio Couto Pereira,25.210 torcedores,Rafael Rodrigo Klein
Fortaleza EC,2,Fluminense FC,5,3,"sáb, 29/04/23",16:30,4,2,Estádio Governador Plácido Castelo,39.943 torcedores,Raphael Claus
SE Palmeiras,3,SC Corinthians,17,3,"sáb, 29/04/23",18:30,2,1,Allianz Parque,41.457 torcedores,Wilton Sampaio
Santos FC,11,América Mineiro,20,3,"sáb, 29/04/23",18:30,3,2,Estádio Urbano Caldeira,11.844 torcedores,Anderson Daronco
RB Bragantino,12,Cruzeiro EC,6,3,"sáb, 29/04/23",18:30,0,3,Estádio Nabi Abi Chedid,4.829 torcedores,Braulio da Silva Machado
Atlético Mineiro,10,Athletico Paranaense,15,3,"sáb, 29/04/23",21:00,2,1,Estádio Raimundo Sampaio,15.037 torcedores,Ramon Abatti
CR Flamengo,13,Botafogo FR,1,3,"dom, 30/04/23",16:00,2,3,Estádio Jornalista Mário Filho,53.138 torcedores,Edina Alves Batista
SC Internacional,4,Goiás EC,14,3,"dom, 30/04/23",18:30,1,0,Estádio Beira-Rio,29.193 torcedores,Rodrigo Jose Pereira de Lima
Cuiabá EC,18,Grêmio FBPA,7,3,"dom, 30/04/23",18:30,1,2,Arena Pantanal,21.385 torcedores,Bruno Arleu de Araújo
CR Vasco da Gama,9,EC Bahia,16,3,"seg, 01/05/23",20:00,0,1,Estádio São Januário,19.223 torcedores,Flavio Rodrigues de Souza
Cruzeiro EC,3,Santos FC,14,4,"sáb, 06/05/23",16:00,2,1,Estádio Raimundo Sampaio,21.191 torcedores,Bruno Arleu de Araújo
Fluminense FC,6,CR Vasco da Gama,11,4,"sáb, 06/05/23",21:00,1,1,Estádio Jornalista Mário Filho,39.850 torcedores,Wilton Sampaio
América Mineiro,20,Cuiabá EC,13,4,"dom, 07/05/23",11:00,1,2,Estádio Raimundo Sampaio,5.228 torcedores,Denis Ribeiro Serafim
São Paulo FC,5,SC Internacional,8,4,"dom, 07/05/23",16:00,2,0,MorumBIS,46.093 torcedores,Braulio da Silva Machado
Athletico Paranaense,10,CR Flamengo,17,4,"dom, 07/05/23",16:00,2,1,Ligga Arena,32.949 torcedores,Raphael Claus
EC Bahia,9,Coritiba FC,19,4,"dom, 07/05/23",16:00,3,1,Arena Fonte Nova,37.936 torcedores,Bruno Mota Correia
Botafogo FR,1,Atlético Mineiro,16,4,"dom, 07/05/23",18:30,2,0,Estádio Olímpico Nilton Santos,18.218 torcedores,Flavio Rodrigues de Souza
Goiás EC,18,SE Palmeiras,2,4,"dom, 07/05/23",18:30,0,5,Estádio Serra Dourada,13.789 torcedores,Wagner do Nascimento Magalhães
Grêmio FBPA,7,RB Bragantino,12,4,"dom, 07/05/23",18:30,3,3,Arena do Grêmio,23.760 torcedores,Paulo Cesar Zanovelli
SC Corinthians,15,Fortaleza EC,4,4,"seg, 08/05/23",20:00,1,1,Neo Química Arena,36.512 torcedores,Ramon Abatti
Santos FC,9,EC Bahia,13,5,"qua, 10/05/23",19:00,3,0,Estádio Urbano Caldeira,7.262 torcedores,Wagner do Nascimento Magalhães
RB Bragantino,15,América Mineiro,20,5,"qua, 10/05/23",19:00,2,2,Estádio Nabi Abi Chedid,2.909 torcedores,Rafael Rodrigo Klein
SC Internacional,11,Athletico Paranaense,4,5,"qua, 10/05/23",19:00,0,2,Estádio Beira-Rio,13.537 torcedores,Bruno Arleu de Araújo
Cuiabá EC,17,Atlético Mineiro,8,5,"qua, 10/05/23",20:00,0,4,Arena Pantanal,12.029 torcedores,Wilton Sampaio
CR Flamengo,12,Goiás EC,18,5,"qua, 10/05/23",20:00,2,0,Estádio Jornalista Mário Filho,44.948 torcedores,Savio Pereira Sampaio
SE Palmeiras,2,Grêmio FBPA,10,5,"qua, 10/05/23",21:30,4,1,Allianz Parque,37.532 torcedores,Braulio da Silva Machado
Cruzeiro EC,5,Fluminense FC,3,5,"qua, 10/05/23",21:30,0,2,Estádio Governador Magalhães Pinto,51.846 torcedores,Flavio Rodrigues de Souza
Coritiba FC,19,CR Vasco da Gama,14,5,"qui, 11/05/23",19:00,1,1,Estádio Major Antônio Couto Pereira,20.880 torcedores,Ramon Abatti
Botafogo FR,1,SC Corinthians,16,5,"qui, 11/05/23",19:30,3,0,Estádio Olímpico Nilton Santos,22.388 torcedores,Anderson Daronco
Fortaleza EC,6,São Paulo FC,7,5,"qui, 11/05/23",20:00,0,0,Estádio Governador Plácido Castelo,37.775 torcedores,Paulo Cesar Zanovelli
EC Bahia,14,CR Flamengo,9,6,"sáb, 13/05/23",16:00,2,3,Arena Fonte Nova,48.502 torcedores,Paulo Cesar Zanovelli
Fluminense FC,3,Cuiabá EC,18,6,"sáb, 13/05/23",18:30,2,0,Estádio Jornalista Mário Filho,39.040 torcedores,Edina Alves Batista
SE Palmeiras,2,RB Bragantino,13,6,"sáb, 13/05/23",18:30,1,1,Allianz Parque,39.488 torcedores,Savio Pereira Sampaio
Atlético Mineiro,6,SC Internacional,12,6,"sáb, 13/05/23",21:00,2,0,Estádio Governador Magalhães Pinto,36.080 torcedores,Raphael Claus
CR Vasco da Gama,16,Santos FC,7,6,"dom, 14/05/23",16:00,0,1,Estádio São Januário,19.108 torcedores,Rodrigo Jose Pereira de Lima
SC Corinthians,17,São Paulo FC,10,6,"dom, 14/05/23",16:00,1,1,Neo Química Arena,41.434 torcedores,Bruno Arleu de Araújo
Grêmio FBPA,11,Fortaleza EC,8,6,"dom, 14/05/23",16:00,0,0,Arena do Grêmio,19.598 torcedores,Bruno Mota Correia
Goiás EC,15,Botafogo FR,1,6,"dom, 14/05/23",18:30,2,1,Estádio Serra Dourada,9.092 torcedores,Rafael Rodrigo Klein
Athletico Paranaense,5,Coritiba FC,19,6,"dom, 14/05/23",18:30,3,2,Ligga Arena,31.252 torcedores,Flavio Rodrigues de Souza
América Mineiro,20,Cruzeiro EC,4,6,"dom, 14/05/23",18:30,0,4,Estádio Raimundo Sampaio,4.295 torcedores,Wilton Sampaio
EC Bahia,13,Goiás EC,16,7,"sáb, 20/05/23",16:00,1,1,Arena Fonte Nova,32.519 torcedores,Denis Ribeiro Serafim
Botafogo FR,1,Fluminense FC,3,7,"sáb, 20/05/23",18:30,1,0,Estádio Olímpico Nilton Santos,24.732 torcedores,Braulio da Silva Machado
São Paulo FC,8,CR Vasco da Gama,17,7,"sáb, 20/05/23",18:30,4,2,MorumBIS,57.399 torcedores,Leandro Pedro Vuaden
RB Bragantino,12,Athletico Paranaense,7,7,"sáb, 20/05/23",18:30,2,0,Estádio Nabi Abi Chedid,3.769 torcedores,Felipe Fernandes
Coritiba FC,20,Atlético Mineiro,4,7,"sáb, 20/05/23",18:30,1,2,Estádio Major Antônio Couto Pereira,20.047 torcedores,Rodrigo Jose Pereira de Lima
América Mineiro,19,Fortaleza EC,11,7,"sáb, 20/05/23",18:30,2,1,Estádio Raimundo Sampaio,2.488 torcedores,Luiz Flávio de Oliveira (SP)
Santos FC,9,SE Palmeiras,2,7,"sáb, 20/05/23",21:00,0,0,Estádio Urbano Caldeira,12.641 torcedores,Raphael Claus
CR Flamengo,6,SC Corinthians,18,7,"dom, 21/05/23",16:00,1,0,Estádio Jornalista Mário Filho,64.871 torcedores,Rafael Rodrigo Klein
Grêmio FBPA,10,SC Internacional,15,7,"dom, 21/05/23",18:30,3,1,Arena do Grêmio,39.438 torcedores,Flavio Rodrigues de Souza
Cruzeiro EC,5,Cuiabá EC,14,7,"seg, 22/05/23",20:00,0,1,Estádio Joaquim Henrique Nogueira,15.722 torcedores,Savio Pereira Sampaio
Athletico Paranaense,11,Grêmio FBPA,5,8,"sáb, 27/05/23",16:00,1,2,Ligga Arena,25.966 torcedores,Savio Pereira Sampaio
Fortaleza EC,9,CR Vasco da Gama,18,8,"sáb, 27/05/23",16:00,2,0,Estádio Governador Plácido Castelo,37.625 torcedores,Edina Alves Batista
CR Flamengo,7,Cruzeiro EC,6,8,"sáb, 27/05/23",18:30,1,1,Estádio Jornalista Mário Filho,65.270 torcedores,Luiz Flávio de Oliveira (SP)
Cuiabá EC,15,Coritiba FC,20,8,"sáb, 27/05/23",18:30,1,1,Arena Pantanal,8.660 torcedores,Denis Ribeiro Serafim
São Paulo FC,3,Goiás EC,17,8,"sáb, 27/05/23",21:00,2,1,MorumBIS,45.429 torcedores,Rafael Rodrigo Klein
SC Corinthians,14,Fluminense FC,8,8,"dom, 28/05/23",16:00,2,0,Neo Química Arena,34.624 torcedores,Leandro Pedro Vuaden
SC Internacional,13,EC Bahia,16,8,"dom, 28/05/23",16:00,2,0,Estádio Beira-Rio,19.037 torcedores,Wagner do Nascimento Magalhães
Atlético Mineiro,4,SE Palmeiras,2,8,"dom, 28/05/23",18:30,1,1,Estádio Governador Magalhães Pinto,53.236 torcedores,Braulio da Silva Machado
Botafogo FR,1,América Mineiro,19,8,"dom, 28/05/23",19:00,2,0,Estádio Olímpico Nilton Santos,23.708 torcedores,Raphael Claus
RB Bragantino,10,Santos FC,12,8,"seg, 29/05/23",18:30,2,0,Estádio Nabi Abi Chedid,5.988 torcedores,Anderson Daronco
Fortaleza EC,9,EC Bahia,15,9,"sáb, 03/06/23",16:00,0,0,Estádio Governador Plácido Castelo,38.338 torcedores,João Vitor Gobi
Cruzeiro EC,10,Atlético Mineiro,3,9,"sáb, 03/06/23",18:30,0,1,Estádio Municipal Parque do Sabiá,34.344 torcedores,Savio Pereira Sampaio
Athletico Paranaense,7,Botafogo FR,1,9,"sáb, 03/06/23",18:30,1,0,Ligga Arena,18.684 torcedores,Vinicius Gonçalves Dias Araujo
América Mineiro,18,SC Corinthians,16,9,"sáb, 03/06/23",18:30,2,0,Estádio Raimundo Sampaio,6.701 torcedores,Anderson Daronco
Santos FC,12,SC Internacional,13,9,"sáb, 03/06/23",21:00,1,1,Estádio Urbano Caldeira,9.600 torcedores,Paulo Cesar Zanovelli
Fluminense FC,6,RB Bragantino,11,9,"dom, 04/06/23",16:00,2,1,Estádio Jornalista Mário Filho,27.228 torcedores,Rodrigo Jose Pereira de Lima
Grêmio FBPA,4,São Paulo FC,8,9,"dom, 04/06/23",16:00,2,1,Arena do Grêmio,42.207 torcedores,Wilton Sampaio
SE Palmeiras,2,Coritiba FC,20,9,"dom, 04/06/23",18:30,3,1,Allianz Parque,33.570 torcedores,Felipe Fernandes
Goiás EC,17,Cuiabá EC,14,9,"dom, 04/06/23",18:30,0,1,Estádio Serra Dourada,6.987 torcedores,Marcelo de Lima Henrique  (RJ)
CR Vasco da Gama,19,CR Flamengo,5,9,"seg, 05/06/23",20:00,1,4,Estádio Jornalista Mário Filho,46.423 torcedores,Braulio da Silva Machado
Coritiba FC,20,Santos FC,13,10,"sáb, 10/06/23",16:00,0,0,Estádio Major Antônio Couto Pereira,25.512 torcedores,Bruno Mota Correia
SC Corinthians,16,Cuiabá EC,14,10,"sáb, 10/06/23",18:30,1,1,Neo Química Arena,40.512 torcedores,André Luiz Skettino Policarpo Bento
Atlético Mineiro,4,RB Bragantino,12,10,"sáb, 10/06/23",18:30,1,1,Estádio Governador Magalhães Pinto,28.786 torcedores,Rafael Rodrigo Klein
EC Bahia,15,Cruzeiro EC,9,10,"sáb, 10/06/23",18:30,2,2,Arena Fonte Nova,34.019 torcedores,Rodrigo Jose Pereira de Lima
Botafogo FR,1,Fortaleza EC,11,10,"sáb, 10/06/23",21:00,2,0,Estádio Olímpico Nilton Santos,19.291 torcedores,Wilton Sampaio
América Mineiro,18,Athletico Paranaense,7,10,"dom, 11/06/23",11:00,2,2,Estádio Governador Magalhães Pinto,5.902 torcedores,João Vitor Gobi
São Paulo FC,8,SE Palmeiras,2,10,"dom, 11/06/23",16:00,0,2,MorumBIS,56.871 torcedores,Raphael Claus
SC Internacional,10,CR Vasco da Gama,19,10,"dom, 11/06/23",16:00,2,1,Estádio Beira-Rio,18.044 torcedores,Edina Alves Batista
CR Flamengo,3,Grêmio FBPA,6,10,"dom, 11/06/23",18:30,3,0,Estádio Jornalista Mário Filho,62.967 torcedores,Savio Pereira Sampaio
Goiás EC,17,Fluminense FC,5,10,"dom, 11/06/23",18:30,2,2,Estádio Serra Dourada,10.260 torcedores,Leandro Pedro Vuaden
São Paulo FC,6,Athletico Paranaense,11,11,"qua, 21/06/23",19:00,2,1,MorumBIS,22.882 torcedores,Savio Pereira Sampaio
Cruzeiro EC,12,Fortaleza EC,10,11,"qua, 21/06/23",19:00,0,1,Estádio Governador Magalhães Pinto,28.494 torcedores,Bruno Arleu de Araújo
Santos FC,13,SC Corinthians,15,11,"qua, 21/06/23",20:00,0,2,Estádio Urbano Caldeira,12.499 torcedores,Leandro Pedro Vuaden
Fluminense FC,7,Atlético Mineiro,5,11,"qua, 21/06/23",21:30,1,1,Estádio General Sylvio Raulino de Oliveira,7.788 torcedores,Ramon Abatti
EC Bahia,14,SE Palmeiras,2,11,"qua, 21/06/23",21:30,1,0,Arena Fonte Nova,31.013 torcedores,Wilton Sampaio
Grêmio FBPA,3,América Mineiro,18,11,"qui, 22/06/23",19:00,3,1,Arena do Grêmio,15.864 torcedores,Edina Alves Batista
CR Vasco da Gama,19,Goiás EC,17,11,"qui, 22/06/23",20:00,0,1,Estádio São Januário,17.647 torcedores,Jean Pierre Goncalves Lima
Coritiba FC,20,SC Internacional,8,11,"qui, 22/06/23",20:00,0,1,Estádio Major Antônio Couto Pereira,25.983 torcedores,André Luiz Skettino Policarpo Bento
Cuiabá EC,16,Botafogo FR,1,11,"qui, 22/06/23",20:00,0,1,Arena Pantanal,13.981 torcedores,Flavio Rodrigues de Souza
RB Bragantino,9,CR Flamengo,4,11,"qui, 22/06/23",21:30,4,0,Estádio Nabi Abi Chedid,10.103 torcedores,Anderson Daronco
Athletico Paranaense,9,SC Corinthians,15,12,"sáb, 24/06/23",16:00,1,0,Ligga Arena,30.144 torcedores,Wagner do Nascimento Magalhães
Fluminense FC,5,EC Bahia,14,12,"sáb, 24/06/23",18:30,2,1,Estádio Jornalista Mário Filho,24.507 torcedores,Savio Pereira Sampaio
Fortaleza EC,8,Atlético Mineiro,10,12,"sáb, 24/06/23",18:30,2,1,Estádio Governador Plácido Castelo,27.109 torcedores,Leandro Pedro Vuaden
Cruzeiro EC,12,São Paulo FC,11,12,"sáb, 24/06/23",21:00,1,0,Estádio Governador Magalhães Pinto,17.478 torcedores,Ramon Abatti
SE Palmeiras,4,Botafogo FR,1,12,"dom, 25/06/23",16:00,0,1,Allianz Parque,38.877 torcedores,Anderson Daronco
Grêmio FBPA,2,Coritiba FC,20,12,"dom, 25/06/23",16:00,5,1,Arena do Grêmio,37.048 torcedores,João Vitor Gobi
Santos FC,13,CR Flamengo,3,12,"dom, 25/06/23",18:30,2,3,Estádio Urbano Caldeira,Árbitro:,Wilton Sampaio
RB Bragantino,7,Goiás EC,17,12,"dom, 25/06/23",18:30,2,0,Estádio Nabi Abi Chedid,3.798 torcedores,Bruno Mota Correia
América Mineiro,19,SC Internacional,6,12,"dom, 25/06/23",18:30,1,2,Estádio Raimundo Sampaio,2.249 torcedores,Flavio Rodrigues de Souza
CR Vasco da Gama,18,Cuiabá EC,16,12,"seg, 26/06/23",21:00,1,0,Estádio Luso Brasileiro,Árbitro:,Rafael Rodrigo Klein
São Paulo FC,7,Fluminense FC,6,13,"sáb, 01/07/23",16:00,1,0,MorumBIS,49.153 torcedores,Anderson Daronco
CR Flamengo,3,Fortaleza EC,11,13,"sáb, 01/07/23",18:30,2,0,Estádio Jornalista Mário Filho,64.853 torcedores,Savio Pereira Sampaio
EC Bahia,15,Grêmio FBPA,2,13,"sáb, 01/07/23",18:30,1,2,Arena Fonte Nova,34.090 torcedores,Marcelo de Lima Henrique  (RJ)
SC Internacional,8,Cruzeiro EC,12,13,"sáb, 01/07/23",21:00,0,0,Estádio Beira-Rio,23.923 torcedores,Wagner do Nascimento Magalhães
SC Corinthians,16,RB Bragantino,5,13,"dom, 02/07/23",11:00,0,1,Neo Química Arena,42.404 torcedores,Edina Alves Batista
Botafogo FR,1,CR Vasco da Gama,18,13,"dom, 02/07/23",16:00,2,0,Estádio Olímpico Nilton Santos,38.798 torcedores,Raphael Claus
